source,type,action,target,weight
1628522082874130434,Tweet-Directed,retweet,1628075560936124432,1
1628522082874130434,Tweet-Directed,reply,,1
1630317441719959552,Tweet-Directed,quote,1630207088113639428,1
1630317441719959552,Tweet-Directed,retweet,1630292447984078852,1
1630317441719959552,Tweet-Directed,reply,,1
1626943724864282624,Tweet-Directed,quote,,1
1626943724864282624,Tweet-Directed,retweet,1626929864954478592,1
1626943724864282624,Tweet-Directed,reply,,1
1627452056070914049,Tweet-Directed,quote,,1
1627452056070914049,Tweet-Directed,retweet,1627369112765702151,1
1627452056070914049,Tweet-Directed,reply,,1
1629853480687919104,Tweet-Directed,quote,1605639743349198850,1
1629853480687919104,Tweet-Directed,retweet,1629802821615853570,1
1629853480687919104,Tweet-Directed,reply,,1
1626921274864795648,Tweet-Directed,quote,,1
1626921274864795648,Tweet-Directed,retweet,,1
1626921274864795648,Tweet-Directed,reply,1626910189411614721,1
1629810704273354756,Tweet-Directed,quote,,1
1629810704273354756,Tweet-Directed,retweet,1629353391234088960,1
1629810704273354756,Tweet-Directed,reply,,1
1626935598203252740,Tweet-Directed,quote,,1
1626935598203252740,Tweet-Directed,retweet,1626923908271054850,1
1626935598203252740,Tweet-Directed,reply,,1
1628008984719368192,Tweet-Directed,quote,,1
1628008984719368192,Tweet-Directed,retweet,1628008806234849280,1
1628008984719368192,Tweet-Directed,reply,,1
1629539200495124480,Tweet-Directed,quote,,1
1629539200495124480,Tweet-Directed,retweet,1629388982491463682,1
1629539200495124480,Tweet-Directed,reply,,1
1630601983311708162,Tweet-Directed,quote,,1
1630601983311708162,Tweet-Directed,retweet,,1
1630601983311708162,Tweet-Directed,reply,1630593937038557187,1
1628172507168620547,Tweet-Directed,quote,1628124979135975432,1
1628172507168620547,Tweet-Directed,retweet,1628131640298901523,1
1628172507168620547,Tweet-Directed,reply,,1
1626977369922707457,Tweet-Directed,quote,,1
1626977369922707457,Tweet-Directed,retweet,1626959851090808832,1
1626977369922707457,Tweet-Directed,reply,,1
